epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,931.581,1.18813,1.48583,1.75185,0.94195,0.88115,0.91815,0.65828,0.90879,1.48115,1.43835,0.000661202,0.000661202,0.000661202
2,1813.43,0.86112,0.84961,1.42282,0.979,0.9918,0.99117,0.7654,0.88134,1.18368,1.54109,0.0013191,0.0013191,0.0013191
